,Open_adj,High_adj,Low_adj,Close_adj,Volume,Open_interest,Contract
4/1/2010,59990,60560,59690,60000,22144,55850,1003
5/1/2010,60380,60480,59920,60420,16872,50492,1003
6/1/2010,60410,61850,60360,61650,16060,47590,1003
7/1/2010,62090.14279,63470.59062,60529.63654,61189.85072,585286,159808,1004
8/1/2010,61219.86046,61479.94483,59699.36719,60709.69495,533576,155876,1004
11/1/2010,61569.97404,62540.28882,61549.96755,62190.17524,313530,156532,1004
12/1/2010,61539.9643,61870.07139,61069.81178,61720.02272,269398,151668,1004
13/1/2010,59519.30878,60499.62681,58789.07188,59789.3964,379902,157426,1004
14/1/2010,61029.7988,61259.87344,60619.66575,60769.71442,180786,150502,1004
15/1/2010,60729.70144,60979.78257,60189.5262,60529.63654,157256,148232,1004
18/1/2010,60019.47104,60969.77933,59979.45806,60899.75661,114758,140768,1004
19/1/2010,61249.87019,61700.01623,61169.84423,61650,88826,120820,1004
20/1/2010,61930.09086,62020.12007,61019.79555,61019.79555,71244,110646,1004
21/1/2010,60789.72092,61149.83774,60199.52945,60969.77933,45612,104076,1004
22/1/2010,59569.325,60019.47104,58729.05241,59499.30229,49278,96818,1004
25/1/2010,59929.44183,60009.46779,59369.2601,59869.42236,17882,92018,1004
26/1/2010,60419.60084,60599.65926,59239.21791,59369.2601,17850,87318,1004
27/1/2010,59699.36719,59789.3964,59189.20169,59559.32176,15670,83242,1004
28/1/2010,56918.46503,57978.80902,56918.46503,57498.65325,37174,72546,1004
29/1/2010,56548.34496,56848.44232,55407.97501,55447.98799,43248,60246,1004
1/2/2010,55037.85494,55207.91011,53317.29677,54397.64725,33416,50264,1004
2/2/2010,55067.86468,55417.97826,54147.56612,54297.6148,11072,47626,1004
3/2/2010,55067.58097,55997.54012,54557.60338,55887.54496,521488,198888,1005
4/2/2010,53697.64115,54457.60777,53417.65345,53997.62798,448664,201322,1005
5/2/2010,52277.70353,52347.70045,51357.74394,51977.71671,397578,195436,1005
8/2/2010,52417.69738,53277.6596,52307.70221,52557.69123,287140,188590,1005
9/2/2010,52407.69782,53387.65477,51977.71671,53197.66312,398498,193240,1005
10/2/2010,53997.62798,54887.58888,53647.64335,54657.59898,369934,172102,1005
11/2/2010,54887.58888,55667.55462,54807.5924,55387.56692,255914,165818,1005
12/2/2010,56587.51421,56697.50937,55877.54539,56407.52211,214074,162166,1005
22/2/2010,59987.36486,59997.36442,58947.41054,59007.4079,183196,142436,1005
23/2/2010,58807.41669,59127.40263,58257.44085,58887.41318,150202,134892,1005
24/2/2010,57697.46545,58347.4369,57607.4694,58167.4448,91510,124864,1005
25/2/2010,58297.43909,58807.41669,57817.46018,57887.4571,77210,118974,1005
26/2/2010,58177.44436,58477.43119,57837.4593,58017.45139,42362,114098,1005
1/3/2010,61047.31829,61047.31829,59907.36837,60627.33674,73152,98736,1005
2/3/2010,60117.35915,60157.35739,58947.41054,58997.40834,32912,93000,1005
3/3/2010,59907.36837,59907.36837,59257.39692,59457.38814,19554,88490,1005
4/3/2010,59677.37847,60177.35651,59307.39473,59317.39429,24012,81548,1005
5/3/2010,59257.39692,59857.37057,59057.40571,59747.3754,17238,76658,1005
8/3/2010,60267.35256,60557.33982,59937.36705,60477.34333,16138,71104,1005
9/3/2010,60197.35563,60327.34992,59797.3732,60047.36222,8400,69486,1005
10/3/2010,60067.36134,60507.34202,60067.36134,60397.34685,6446,67450,1005
11/3/2010,60007.36398,60097.36003,59107.40351,59227.39824,12024,66442,1005
12/3/2010,59597.38199,59717.37672,59147.40176,59477.38726,6742,64546,1005
15/3/2010,59477.38726,59477.38726,58237.44173,58297.43909,10908,62518,1005
16/3/2010,57987.45271,58787.41757,57717.46457,58767.41845,7008,61222,1005
17/3/2010,59297.39517,59967.36574,59107.40351,59947.36661,8428,58288,1005
18/3/2010,59807.81505,60116.82209,59269.54471,59349.28846,321864,173150,1006
19/3/2010,59498.808,60296.24554,59409.09628,60037.07834,253090,167392,1006
22/3/2010,59309.41659,59708.13535,59219.70486,59339.32049,194780,165088,1006
23/3/2010,59787.87911,59987.23849,59319.38456,59369.2244,205702,159160,1006
24/3/2010,59429.03222,59698.16738,58840.92204,59110.0572,200252,159834,1006
25/3/2010,59110.0572,59229.67283,58711.33844,59129.99314,192820,146366,1006
26/3/2010,59159.89705,59987.23849,58980.4736,59967.30255,156490,127592,1006
29/3/2010,60575.34867,61661.85731,60575.34867,61542.24168,116656,108560,1006
30/3/2010,61901.08857,61901.08857,61263.13854,61492.40184,79784,99250,1006
31/3/2010,61901.08857,62100.44796,61113.61901,61123.58698,45866,89216,1006
1/4/2010,61392.72214,62200.12765,61203.33073,62000.76826,39022,80994,1006
2/4/2010,62120.38389,62638.71829,61861.2167,62618.78235,25356,74232,1006
6/4/2010,62688.55814,63157.05269,62509.13469,62907.85346,19972,71458,1006
7/4/2010,62858.01361,62947.72534,62369.58312,62549.00657,14674,69058,1006
8/4/2010,62269.90343,62269.90343,61562.17762,61602.0495,11606,65106,1006
9/4/2010,62000.76826,62429.39094,62000.76826,62369.58312,9448,62416,1006
12/4/2010,62678.59017,63157.05269,62249.96749,62349.64718,11844,59636,1006
13/4/2010,61851.24873,62239.99952,61721.66513,61930.99248,8388,57266,1006
14/4/2010,62439.35891,62688.55814,61950.92842,61960.89639,7928,55948,1006
15/4/2010,62349.64718,62449.32688,61980.83233,61990.80029,7550,54504,1006
16/4/2010,62090.47999,62200.12765,61641.92137,61741.60107,7740,52240,1006
19/4/2010,60804.61196,60804.61196,59598.48769,59658.29551,21074,46210,1006
20/4/2010,60224.38887,60432.94959,60035.69108,60383.29227,252638,198814,1007
21/4/2010,60224.38887,60591.85299,59916.51353,60512.40129,293244,194352,1007
22/4/2010,60184.66302,60661.37322,60015.82816,60244.2518,241354,185932,1007
