,Open_adj,High_adj,Low_adj,Close_adj,Volume,Open_interest,Contract
21/10/2013,988,988,975,980,4876,6096,1403
22/10/2013,973.9318885,976.9659443,958.7616099,958.7616099,91296,76004,1405
23/10/2013,959.7729618,963.8183695,946.625387,949.6594427,116490,81162,1405
24/10/2013,948.6480908,949.6594427,926.3983488,936.5118679,169028,87872,1405
25/10/2013,938.5345717,946.625387,927.4097007,928.4210526,104060,86472,1405
28/10/2013,930.4437564,938.5345717,927.4097007,933.4778122,83790,93480,1405
29/10/2013,934.4891641,935.500516,923.3642931,931.4551084,105876,99058,1405
30/10/2013,929.4324045,940.5572755,926.3983488,934.4891641,118272,91262,1405
31/10/2013,935.500516,937.5232198,930.4437564,932.4664603,74672,84820,1405
1/11/2013,931.4551084,964.8297214,931.4551084,952.6934985,321242,107582,1405
4/11/2013,953.7048504,967.8637771,952.6934985,960.7843137,175080,122298,1405
5/11/2013,958.7616099,964.8297214,953.7048504,956.7389061,108384,121942,1405
6/11/2013,959.7729618,961.7956656,952.6934985,954.7162023,69362,123650,1405
7/11/2013,955.7275542,957.750258,949.6594427,955.7275542,91676,124958,1405
8/11/2013,957.750258,958.7616099,946.625387,949.6594427,66340,120532,1405
11/11/2013,950.6707946,954.7162023,944.6026832,952.6934985,57564,112342,1405
12/11/2013,950.6707946,954.7162023,946.625387,953.7048504,45594,107938,1405
13/11/2013,951.6821465,962.8070175,950.6707946,953.7048504,96484,110812,1405
14/11/2013,950.6707946,954.7162023,947.6367389,947.6367389,55752,103446,1405
15/11/2013,949.6594427,952.6934985,940.5572755,941.5686275,76014,102752,1405
18/11/2013,941.5686275,945.6140351,935.500516,942.5799794,52704,99378,1405
19/11/2013,941.5686275,953.7048504,940.5572755,952.6934985,60164,106904,1405
20/11/2013,953.7048504,956.7389061,950.6707946,952.6934985,43452,104228,1405
21/11/2013,952.6934985,953.7048504,942.5799794,942.5799794,41322,105090,1405
22/11/2013,944.6026832,945.6140351,939.5459236,941.5686275,52592,106092,1405
25/11/2013,943.5913313,946.625387,938.5345717,943.5913313,38196,104188,1405
26/11/2013,944.6026832,953.7048504,944.6026832,951.6821465,72650,108162,1405
27/11/2013,950.6707946,952.6934985,943.5913313,946.625387,30614,106536,1405
28/11/2013,943.5913313,950.6707946,943.5913313,949.6594427,27220,105728,1405
29/11/2013,949.6594427,955.7275542,949.6594427,949.6594427,33364,106418,1405
2/12/2013,950.6707946,951.6821465,944.6026832,946.625387,41520,108744,1405
3/12/2013,948.6480908,951.6821465,946.625387,949.6594427,35426,105336,1405
4/12/2013,952.6934985,965.8410733,951.6821465,962.8070175,94420,114382,1405
5/12/2013,963.8183695,966.8524252,954.7162023,955.7275542,52990,114538,1405
6/12/2013,954.7162023,955.7275542,948.6480908,951.6821465,40044,108430,1405
9/12/2013,951.6821465,956.7389061,950.6707946,955.7275542,19390,112378,1405
10/12/2013,956.7389061,957.750258,952.6934985,952.6934985,16900,109726,1405
11/12/2013,952.6934985,952.6934985,944.6026832,947.6367389,38984,108132,1405
12/12/2013,946.625387,948.6480908,940.5572755,940.5572755,35494,108944,1405
13/12/2013,937.5232198,937.5232198,915.2734778,924.375645,91394,116740,1405
